vani_index,sp_index,server_type,file_id,canto,chapter,text,prefix,display_name,speaker,category_name,category,encrypt_id
121,,drive,1M9K0EcbFP41MwO6qczmNBwFLrABDQtwP,,,,,90-024-Discipline (Mumbai)-BG_2_64-dt_90_02_19.mp3,hhrnsm,MP lectures,1. MP lectures,echgbxoo
122,,drive,1nraD_BgnGdca7HYL3_A84FRqDXFtBx1p,,,,,True parental love.mp3,hhrnsm,MP lectures,1. MP lectures,vyqlditb
123,,drive,1nW4TfElS9aaKh4yGrrRTMzqbkUHBxrxB,,,,,"12. Four Essential Qualities of a Vaisnava - II, 23.2.02 Pun.mp3",hhrnsm,MP lectures,1. MP lectures,jimannan
124,,drive,1nywvi9lyP9-WRlo58miHt6iK0d2UJOF6,,,,,08-026-Antidote Of Envy Is Appreciation-SB_07_04_34-dt_08_03_09.mp3,hhrnsm,MP lectures,1. MP lectures,yhcpdhrn
125,,drive,1OIqi92LSkqWAPdvJ0PH1GwqrDeHvMG-H,,,,,07-028-Service Attitude is the Foundation-SB_6_11_24-dt_07_04_02.mp3,hhrnsm,MP lectures,1. MP lectures,rjlztitb
126,,drive,1pNTm5BFDEWN0uj2StTgKfJBgGLExXKQD,,,,,02-116-Absorbing Our Mind BY Taking Responsibility (Mumbai)-SB_4_20_12-dt_02_11_30.mp3,hhrnsm,MP lectures,1. MP lectures,omyddpuy
127,,drive,1rkoaQspzdQ8SW3uRn_2afN-Yb6bAPY-A,,,,,1996-168_Precarious_Condition_Of_Indians_SB-02_05_15_Mumbai_-_03-11-96.mp3,hhrnsm,MP lectures,1. MP lectures,jkaernhx
128,,drive,1Sgb82-iSqELHg7_9h_Kx9uNAJEt9EIAu,,,,,"03) Do not become a prisoner of success, SB- 6.11.24-26_ HHRNS.mp3",hhrnsm,MP lectures,1. MP lectures,zveuvoaa
129,,drive,1tVNVrPnVFLrpg9If3myviWxGCSlqhgQj,,,,,08-012 Clear Intelligence Comes From Sincerity (SB-7_2_61)H H Radhanath Swami  08-01-13.MP3,hhrnsm,MP lectures,1. MP lectures,ttknzwib
130,,drive,1Vtoojaa82CMjKN5GEDkRoK8phdhds6JQ,,,,,"01 Krishna Doesn't Require Anything (SB-5_3_8, Mumbai)  01-01-2005.mp3",hhrnsm,MP lectures,1. MP lectures,giwmruxm
131,,drive,1w6COqO0mx2eudgaQsX392G7ELqUafsqy,,,,,07-050-Submissiveness An Essential Qualification-SB_7_1_4_5-dt_07_10_20.mp3,hhrnsm,MP lectures,1. MP lectures,gstvnlxm
132,,drive,1WMzMg_EiA7wmHN6dUhrvLDFAvsMkKU14,,,,,08-051-Accessing Mercy Through Humility-SB_7_9_26-dt_08_10_12.mp3,hhrnsm,MP lectures,1. MP lectures,cwxwrcxa
133,,drive,1xEG4rdm69oaX5vPrj-r5Ra4aEwIc_CoJ,,,,,09-051-Krishna Hears Intent Of Our Prayers (Mumbai)-SB_08_06_14-dt_09_11_08.mp3,hhrnsm,MP lectures,1. MP lectures,mmzecmvn
134,,drive,1Z2uKsLme0P2LqGzWQFdkEJBheztVVGbg,,,,,"11.Developing Proper Relationship Among Devotees. 25.08.01,.mp3",hhrnsm,MP lectures,1. MP lectures,dvrdwles
135,,drive,1_oXlw00jUs-InEFVVG477fBq77ZrOU7j,,,,,00 - Glorify Devotees Inspite Of Ou.mp3,hhrnsm,personal hearing,2. personal hearing,avkolbzr
136,,drive,1-GGkXwZPdczeISvJg-gRpMR_xWYG1Lwk,,,,,09-052-Making Truce For A Higher Cause (Mumbai)-SB_08_06_26_28-dt_09_11_14.mp3,hhrnsm,personal hearing,2. personal hearing,cdzyrjqp
137,,drive,1-idM5zKSX_3QpiQhXkx0FiaRP_FZbTvW,,,,,01. 27.04.97  Lecture Overcome Spiritual Laziness - Mumbai.mp3,hhrnsm,personal hearing,2. personal hearing,idyvpcub
